county_code,day_of_week,device_count,completely_home_device_count,part_time_work_behavior_devices,full_time_work_behavior_devices,delivery_behavior_devices,total_home_dwell_time,total_non_home_dwell_time
1017,1,2593,0.1886728079,0.1776212833,0.07698113208,0.04435017354,653.8750482,296.3830189
1017,2,2587,0.174627436,0.163405424,0.0827325781,0.03810504634,667.6618606,323.2980286
1017,3,2537,0.1821603312,0.1652104845,0.07449743792,0.03705163579,648.7000376,302.0074892
1017,4,2586,0.1712769989,0.1655065739,0.06612529002,0.06071152359,580.4587308,295.4895592
1017,5,2735,0.228946409,0.09217322209,0.02463249901,0.03219624377,769.0059595,138.2115877
1017,6,2632,0.2761650115,0.1003944066,0.03011832198,0.02832556472,800.1321995,137.7158055
1019,0,2040,0.1821048482,0.1529365392,0.08238076468,0.03088235294,690.8535681,255.3121797
1019,1,2065,0.192688172,0.1753861485,0.1016442451,0.03099273608,645.587957,312.9341404
1019,2,2064,0.1676006113,0.1716760061,0.110395189,0.02801833928,657.9955446,322.4428295
1019,3,2044,0.1735776278,0.1774827925,0.09827760892,0.02886497065,630.0332681,319.8582449
1019,4,2059,0.1694997572,0.1743564837,0.09332688588,0.04013539652,593.4340295,323.8316929
1019,5,2101,0.219895288,0.0911627907,0.02179296682,0.02048780488,776.1763249,149.4854871
1019,6,2074,0.255679072,0.1020785219,0.02494226328,0.02678983834,839.2112131,139.0652703
1021,0,4125,0.1570909091,0.1732713304,0.1055398302,0.0390702275,731.3452298,288.7494945
1021,1,4060,0.1573229031,0.2056650246,0.1401396581,0.03768472906,696.3123742,339.8477833
1021,2,4076,0.1408243376,0.2067574382,0.1266828515,0.03575369676,700.5818269,348.8564769
1021,3,4009,0.1501621352,0.196437169,0.1396857072,0.03168662675,700.7801858,353.1420318
1021,4,4075,0.1421894219,0.1959616878,0.1116726835,0.0554601227,649.992234,341.7381595
1021,5,4215,0.2087447109,0.1035495716,0.02952952953,0.02602602603,824.0703203,163.2094199
1021,6,4123,0.232716194,0.1031961563,0.02671666276,0.0232013124,883.4026647,158.8864904
1023,0,1004,0.1971399387,0.1606805293,0.1079429735,0.02988047809,587.526047,235.8059072
1023,1,1006,0.168972332,0.1699801193,0.1324110672,0.02982107356,566.9023904,305.7882704
1023,2,1018,0.1434184676,0.1616766467,0.124893071,0.0248075278,574.3170254,319.1549738
1023,3,984,0.1692954784,0.1708043694,0.125,0.02337398374,564.8506098,304.4756098
1023,4,1024,0.1665107577,0.1642561983,0.095703125,0.03827281649,509.3729146,308.4058537
1023,5,1032,0.1974206349,0.07738095238,0.02083333333,0.02281746032,662.7419669,153.4817021
1023,6,1031,0.2526724976,0.09404096834,0.02892199825,0.02793296089,706.4868805,160.5490768
1025,0,1742,0.1905472637,0.1666666667,0.1039387309,0.03673938002,704.4275618,223.7726368
1025,1,1712,0.1809124279,0.1738616203,0.1366055588,0.02803738318,668.0301597,301.3811966
1025,2,1699,0.1571512655,0.1733264141,0.1459682166,0.02670807453,656.7995457,314.0298137
1025,3,1682,0.1623067776,0.1815087918,0.1360911271,0.02517985612,658.1470405,308.7841855
1025,4,1734,0.1591954023,0.1734575087,0.1140861467,0.03143189756,606.7197232,305.9074505
1025,5,1759,0.2284057971,0.08743485814,0.02086956522,0.02142443544,700.3686957,138.4479818
1025,6,1776,0.259778167,0.09155313351,0.03215258856,0.02070844687,830.4927029,144.0918014
1027,0,1047,0.1721581549,0.1599281222,0.09143327842,0.03247373448,665.751234,261.8336079
1027,1,1034,0.1763602251,0.1735459662,0.1102362205,0.03336604514,650.9929763,314.4586614
1027,2,1022,0.1585127202,0.1792538672,0.1067864271,0.02820746133,657.4803313,309.7270059
1027,3,1011,0.1666666667,0.178041543,0.1030723489,0.0307234886,665.3884965,315.3673058
1027,4,1043,0.15915628,0.1869606903,0.0930674264,0.04843304843,590.8615984,320.4727273
1027,5,1070,0.2130841121,0.08341416101,0.02327837051,0.02230843841,769.4486434,139.8584362
1027,6,1087,0.2458857696,0.08534482759,0.02658111824,0.0229147571,833.5914811,139.3639884
1029,0,1325,0.1501172791,0.1845710166,0.1101886792,0.03205629398,715.8342455,336.0447008
1029,1,1329,0.1428571429,0.1885182312,0.1140418929,0.03386004515,693.4063189,363.8239278
1029,2,1318,0.1379857256,0.1852103121,0.1049926579,0.02917232022,694.2959029,351.2488619
1029,3,1317,0.1535055351,0.1867881549,0.1239852399,0.03264996203,679.6184502,359.295203
1029,4,1315,0.129491018,0.1816793893,0.1002386635,0.05089820359,656.7215593,361.1360382
1029,5,1355,0.1808669656,0.1099611902,0.02615844544,0.01918819188,839.0830793,173.1814024
1029,6,1336,0.2067819149,0.1115107914,0.02260638298,0.02014388489,891.4604758,172.239521
1031,0,4460,0.1868211441,0.1740444828,0.1030050688,0.0389255634,725.8006726,253.9784576
